Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,period
...ready for it?,taylor swift,70.0,0.417,0.764,160.015,0.0527,0.613,208187.0,0.0,0.197,-6.509,0.136,1.0,reputation,2017.0,post_ai
1 thing,amerie,6.0,0.845,0.962,130.851,0.125,0.617,239733.0,5.51e-05,0.0268,-3.672,0.298,0.0,Because I Love It,2005.0,pre_ai
10 bands,drake,66.0,0.87,0.756,173.0,0.23,0.835,177733.0,0.0,0.0801,-3.789,0.382,1.0,If You're Reading This It's Too Late,2015.0,post_ai
100,the game,25.0,0.412,0.521,108.025,0.0136,0.801,334360.0,0.0,0.179,-9.871,0.28,0.0,The Documentary 2 + 2.5,2015.0,post_ai
100 grandkids,mac miller,65.0,0.373,0.749,93.718,0.371,0.735,278507.0,0.0,0.47,-3.766,0.0874,0.0,GO:OD AM,2015.0,post_ai
1234,feist,30.0,0.636,0.479,109.95,0.238,0.708,183667.0,1.57e-06,0.0883,-7.608,0.0493,1.0,The Reminder (Deluxe Version),2007.0,pre_ai
17 again,brantley gilbert,12.0,0.71,0.871,173.918,0.0107,0.429,239773.0,8.51e-06,0.367,-4.89,0.0347,1.0,Just As I Am (Deluxe),2014.0,pre_ai
19 somethin',mark wills,29.0,0.523,0.71,184.084,0.1,0.36,326060.0,4.44e-06,0.884,-12.524,0.0606,1.0,Live At Billy Bob's Texas,2002.0,pre_ai
1901,phoenix,25.0,0.695,0.834,144.102,0.053,0.604,193120.0,4.37e-05,0.186,-5.418,0.0422,1.0,Wolfgang Amadeus Phoenix,2009.0,pre_ai
1942 flows,meek mill,51.0,0.266,0.628,121.307,0.0515,0.63,282667.0,0.0,0.091,-4.016,0.327,1.0,Wins & Losses (Deluxe),2017.0,post_ai
1973,james blunt,40.0,0.768,0.668,123.007,0.0652,0.72,280027.0,0.00664,0.0789,-7.928,0.0269,1.0,All the Lost Souls (Deluxe Edition),2007.0,pre_ai
1985,bowling for soup,61.0,0.853,0.878,119.955,0.000246,0.607,193000.0,0.0,0.337,-4.422,0.0665,1.0,A Hangover You Don't Deserve,2004.0,pre_ai
2 phones,kevin gates,71.0,0.554,0.681,121.918,0.157,0.895,240000.0,0.0,0.189,-5.267,0.358,0.0,Islah (Deluxe),2015.0,post_ai
