Name,Artist,year
Old Town Road,"Lil Nas,",2019.0
Senorita,"Shawn Mendes, Camila Cabello",2019.0
Bad Guy,Billie Eilish,2019.0
Talk,Khalid,2019.0
I Don't Care,"Ed Sheeran, Justin Bieber",2019.0
Sucker,Jonas Brothers,2019.0
Suge,DaBaby,2019.0
Money In The Grave,Drake,2019.0
No Guidance,Chris Brown,2019.0
Wow.,Post Malone,2018.0
Truth Hurts,Lizzo,2017.0
Sunflower,"Post Malone, Swae Lee",2018.0
You Need To Calm Down,Taylor Swift,2019.0
If I Can't Have You,Shawn Mendes,2019.0
Dancing With A Stranger,"Sam Smith, Normani",2019.0
Panini,Lil Nas X,2019.0
Without Me,Halsey,2018.0
God's Country,Blake Shelton,2019.0
Pop Out,Polo G,2019.0
MEGATRON,Nicki Minaj,2019.0
Sweet But Psycho,Ava Max,2018.0
Rodeo,"Lil Nas X, Cardi B",2019.0
7 Rings,Ariana Grande,2019.0
"Hey Look Ma, I Made It",Panic! At The Disco,2018.0
Happier,"Marshmello, Bastille",2018.0
Rumor,Lee Brice,2017.0
Never Really Over,Katy Perry,2019.0
Whiskey Glasses,Morgan Wallen,2018.0
The Git Up,Blanco Brown,2019.0
The London,"Young Thug, J. Cole, Travis Scott",2019.0
ME!,Taylor Swift,2019.0
High Hopes,Panic! At The Disco,2018.0
Beer Never Broke My Heart,Luke Combs,2019.0
Act Up,City Girls,2018.0
Eastside,"benny blanco, Halsey, Khalid",2018.0
Middle Child,J. Cole,2019.0
Con Calma,"Daddy Yankee, Katy Perry",2019.0
Pure Water,"Mustard, Migos",2019.0
Cross Me,Ed Sheeran,2019.0
Going Bad,Meek Mill,2018.0
Better,Khalid,2018.0
Shallow,"Lady Gaga, Bradley Cooper",2018.0
Press,Cardi B,2019.0
Speechless,Dan + Shay,2018.0
Sicko Mode,Travis Scott,2018.0
Earfquake,"Tyler, The Creator",2019.0
Look Back At It,A Boogie Wit da Hoodie,2018.0
Shotta Flow,NLE Choppa,2019.0
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019.0
Nightmare,Halsey,2019.0
Go Loko,"YG, Tyga, Jon Z",2019.0
Someone You Loved,Lewis Capaldi,2018.0
Look What God Gave Her,Thomas Rhett,2019.0
Cool,Jonas Brothers,2019.0
Clout,Offset,2019.0
One Thing Right,"Marshmello, Kane Brown",2019.0
Good As You,Kane Brown,2018.0
Worth It,YK Osiris,2019.0
Just Us,DJ Khaled,2019.0
Knockin' Boots,Luke Bryan,2019.0
Walk Me Home,P!nk,2019.0
GIRL,Maren Morris,2019.0
Easier,5 Seconds Of Summer,2019.0
Please Me,"Cardi B, Bruno Mars",2019.0
Some Of It,Eric Church,2018.0
All To Myself,Dan + Shay,2018.0
Callaita,"Bad Bunny, Tainy",2019.0
24/7,Meek Mill,2018.0
It's You,Ali Gatie,2019.0
Rearview Town,Jason Aldean,2018.0
Out The Mud,Lil Baby,2019.0
Call You Mine,"The Chainsmokers, Bebe Rexha",2019.0
Girls Need Love,"Summer Walker, Drake",2019.0
Soltera,"Lunay, Daddy Yankee, Bad Bunny",2019.0
Talk You Out Of It,Florida Georgia Line,2018.0
Trampoline,SHAED,2018.0
Bacc At It Again,"Yella Beezy, Gucci Mane, Quavo",2019.0
Before I Let Go,Beyonce,2019.0
Wish Wish,DJ Khaled,2019.0
Raised On Country,Chris Young,2019.0
Wake Up,Travis Scott,2018.0
Otro Trago,Sech,2019.0
Eyes On You,Chase Rice,2017.0
La La Land,Bryce Vine,2019.0
Ocean Eyes,Billie Eilish,2015.0
