Unnamed: 0,Acousticness,Album,Artist,Danceability,Duration,Energy,Instrumentalness,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,Valence,year,period
16,0.307,Tracie,tracie spencer,0.674,257240,0.529,2.23e-06,0.0725,-6.188,1,still in my heart,30,0.025,89.913,0.601,2000.0,pre_ai
28,0.31,Infinite Possibilities,amel larrieux,0.631,244867,0.494,1.77e-05,0.064,-8.335,0,get up,43,0.101,88.559,0.542,2000.0,pre_ai
136,0.407,Not That Kind,anastacia,0.761,242773,0.717,0.0,0.114,-5.836,0,i'm outta love,26,0.054,119.437,0.685,2000.0,pre_ai
37,0.139,Masterpiece Theatre,en vogue,0.805,309813,0.54,1.68e-05,0.0753,-5.047,0,riddle,33,0.0406,95.999,0.701,2000.0,pre_ai
3,0.218,Shades Of Purple,m2m,0.696,200427,0.685,0.0,0.0988,-5.53,0,mirror mirror,54,0.0246,100.088,0.507,2000.0,pre_ai
20,0.00408,III,chad brock,0.674,206733,0.623,5.61e-05,0.0488,-5.97,1,yes!,9,0.0283,126.547,0.452,2000.0,pre_ai
27,0.0196,G,gerald levert,0.657,317067,0.537,5.55e-06,0.102,-7.825,0,baby u are,33,0.199,172.212,0.636,2000.0,pre_ai
12,0.0158,I Wanna Be With You,mandy moore,0.515,252600,0.908,1.88e-05,0.412,-4.632,1,i wanna be with you,56,0.0368,150.031,0.637,2000.0,pre_ai
49,0.244,Unrestricted,da brat,0.931,224360,0.706,1.3e-06,0.0645,-5.719,1,that's what i'm looking for,0,0.0969,130.061,0.965,2000.0,pre_ai
52,0.325,Inside Job,don henley,0.571,331667,0.492,1.87e-05,0.127,-6.54,0,taking you home,49,0.0261,72.344,0.0899,2000.0,pre_ai
12,0.123,In A Different Light,everclear,0.625,261093,0.822,0.0,0.145,-4.777,0,wonderful,4,0.035,96.555,0.778,2000.0,pre_ai
2,0.000797,Breach,the wallflowers,0.542,211027,0.889,0.0,0.118,-5.099,0,sleepwalker,42,0.0277,128.852,0.702,2000.0,pre_ai
0,0.0554,10 Great Songs,baha men,0.866,197813,0.85,0.0,0.146,-5.881,1,who let the dogs out,17,0.0826,129.214,0.787,2000.0,pre_ai
26,0.27,Exposed,chante moore,0.863,219587,0.868,8.3e-05,0.041,-3.474,1,straight up,3,0.132,100.006,0.945,2000.0,pre_ai
143,0.0897,Nathan Michael Shawn Wanya,boyz ii men,0.698,251307,0.435,0.0,0.275,-6.876,1,thank you in advance,41,0.0445,119.988,0.208,2000.0,pre_ai
68,0.484,One Voice,billy gilman,0.42,244000,0.268,0.0,0.0892,-10.217,1,oklahoma,1,0.0332,138.595,0.27,2000.0,pre_ai
13,0.544,Emotional,carl thomas,0.548,271868,0.542,0.0,0.148,-8.435,0,emotional,49,0.0409,83.106,0.389,2000.0,pre_ai
14,0.0593,Emotional,carl thomas,0.736,226760,0.666,3.82e-05,0.107,-4.929,1,i wish,53,0.0337,89.824,0.224,2000.0,pre_ai
9,0.573,1st Born Second,bilal,0.701,318667,0.322,4.84e-06,0.186,-10.379,0,soul sista,53,0.133,145.848,0.675,2001.0,pre_ai
17,0.0626,Let's Get Ready,mystikal,0.914,256973,0.607,0.0,0.0515,-5.658,1,shake ya ass,54,0.32,98.054,0.666,2000.0,pre_ai
5,0.0656,Aaron's Party (Come Get It),aaron carter,0.892,204427,0.803,0.0,0.169,-4.977,0,that's how i beat shaq,35,0.233,106.015,0.652,2001.0,pre_ai
90,0.0607,Pleasures U Like,jon b,0.819,284467,0.582,0.0,0.148,-5.533,0,don't talk,5,0.118,104.607,0.635,2001.0,pre_ai
