artist,song,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Chicane,Don't Give Up,210786,2016,47,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,Dance/Electronic
Samantha Mumba,Gotta Tell You,201946,2018,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0.0,0.166,0.774,109.981,pop
Faithless,We Come 1 - Radio Edit,222435,2015,53,0.645,0.903,5,-10.587,0,0.0441,0.00188,0.799,0.147,0.61,135.977,"pop, Dance/Electronic"
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,2019,40,0.583,0.643,9,-7.486,0,0.355,0.171,0.0,0.0395,0.7,195.685,pop
Khia,"My Neck, My Back (Lick It)",222560,2015,59,0.859,0.625,9,-4.234,0,0.13,0.0296,0.0,0.0537,0.71,102.072,"pop, R&B"
Liberty X,Just A Little,237359,2019,43,0.786,0.614,5,-6.554,0,0.0574,0.00616,0.0,0.049,0.742,103.887,pop
Creed,One Last Breath - Radio Version,242000,2015,47,0.38,0.725,2,-6.094,1,0.0365,0.00571,0.00015,0.3,0.202,130.581,"pop, rock, metal"
t.A.T.u.,All The Things She Said,214440,2020,39,0.527,0.834,5,-5.767,0,0.0474,0.0411,0.00599,0.105,0.381,179.92,pop
Lil' Kim,Magic Stick,359973,2019,47,0.849,0.498,2,-7.872,1,0.272,0.116,4.49e-05,0.268,0.502,92.98,"hip hop, pop, R&B"
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,2016,52,0.527,0.808,1,-4.749,1,0.295,0.176,0.0,0.169,0.907,87.025,"hip hop, pop, R&B"
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,2016,66,0.833,0.515,11,-5.0,0,0.0462,0.347,0.00156,0.116,0.4,97.007,pop
Will Smith,Switch,197666,2020,34,0.873,0.9,5,-4.325,0,0.18,0.0107,0.000502,0.556,0.478,102.516,"hip hop, pop"
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,150533,2015,39,0.814,0.923,7,-4.525,1,0.229,0.0154,0.154,0.0862,0.518,127.919,"pop, Dance/Electronic"
Hinder,Lips Of An Angel,261053,2019,35,0.474,0.744,2,-5.386,1,0.0341,0.0208,1.22e-06,0.209,0.238,129.005,"pop, rock, metal"
Daughtry,It's Not Over,215173,2016,45,0.45,0.921,10,-3.476,0,0.0538,0.0467,0.0,0.311,0.413,145.959,"pop, rock, metal"
T2,Heartbroken - Edit,178613,2017,59,0.716,0.757,11,-5.438,0,0.0329,0.0258,0.00392,0.16,0.877,139.986,Dance/Electronic
Scouting For Girls,This Ain't a Love Song,210680,2017,52,0.458,0.905,0,-4.157,1,0.0451,0.000431,0.0,0.378,0.553,176.667,"pop, rock"
Chris Brown,Beautiful People,225881,2019,53,0.415,0.775,5,-6.366,0,0.161,0.0658,0.00431,0.0843,0.536,127.898,"hip hop, pop, R&B"
Meghan Trainor,All About That Bass,187920,2015,72,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,pop
