Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,RiaaStatus,Label,period
...ready for it?,taylor swift,70.0,0.417,0.764,160.015,0.05269999999999999,0.613,208187.0,0.0,0.197,-6.509,0.136,1,reputation,2017.0,,,post_ai
1942 flows,meek mill,51.0,0.266,0.628,121.307,0.0515,0.63,282667.0,0.0,0.091,-4.016,0.327,1,Wins & Losses (Deluxe),2017.0,Gold,Atlantic Records,post_ai
24k magic,bruno mars,79.0,0.632,0.803,106.96999999999998,0.034,0.818,225983.0,0.0,0.153,-4.282,0.0797,1,24K Magic,2016.0,5x Multi-Platinum,Atlantic Records,post_ai
4 am,2 chainz,71.0,0.227,0.5,75.012,0.118,0.7959999999999999,255560.0,0.0,0.155,-7.21,0.425,1,Pretty Girls Like Trap Music,2017.0,1x Platinum,Def Jam,post_ai
4 your eyez only,j. cole,66.0,0.494,0.481,78.628,0.378,0.704,530253.0,7.09e-05,0.0874,-10.493,0.363,0,4 Your Eyez Only,2016.0,,,post_ai
4422,drake,64.0,0.221,0.247,111.974,0.499,0.621,186293.0,0.0239,0.113,-12.291,0.0393,0,More Life,2017.0,,,post_ai
8 out of 10,drake,66.0,0.311,0.69,170.54,0.161,0.529,195720.0,0.0,0.498,-7.87,0.7399999999999999,1,Scorpion,2018.0,,,post_ai
9,drake,47.0,0.0388,0.71,99.994,0.000907,0.699,255787.0,0.0007830000000000001,0.23700000000000002,-7.381,0.0437,1,Views,2016.0,1x Platinum,Cash Money / Young Money / Republic Records,post_ai
a guy with a girl,blake shelton,66.0,0.777,0.893,163.948,0.0158,0.552,189467.0,0.0,0.105,-4.593,0.0383,1,If I'm Honest,2016.0,,,post_ai
a lie,french montana,58.0,0.524,0.792,121.189,0.0235,0.516,226790.0,0.0,0.404,-5.38,0.216,0,Jungle Rules,2017.0,,,post_ai
africa,weezer,67.0,0.6,0.784,92.147,0.205,0.534,238627.0,0.00579,0.106,-3.5899999999999994,0.0339,1,Weezer (Teal Album),2018.0,Gold,Atlantic Records,post_ai
all night,beyonce,69.0,0.626,0.573,136.304,0.392,0.574,322000.0,2.16e-05,0.0933,-7.079,0.085,1,Lemonade,2016.0,,,post_ai
all the pretty girls,kenny chesney,70.0,0.719,0.848,120.996,0.00916,0.612,212893.0,0.0,0.366,-3.736,0.0368,1,Cosmic Hallelujah,2016.0,Gold,Blue Chair Records / Columbia Nashville,post_ai
all you wanted,michelle branch,46.0,0.652,0.7199999999999999,96.103,0.004660000000000001,0.49900000000000005,217680.0,0.00303,0.122,-9.101,0.0286,1,The Spirit Room [Deluxe Edition],2018.0,,,post_ai
almost slipped,meek mill,58.0,0.46,0.651,164.213,0.246,0.49,246793.0,0.0,0.233,-6.24,0.251,1,Championships,2018.0,,,post_ai
american country love song,jake owen,64.0,0.329,0.891,104.031,0.0457,0.529,199747.0,0.0,0.0942,-4.36,0.043,1,American Love,2016.0,Gold,Rca Nashville,post_ai
atm,j. cole,71.0,0.345,0.497,81.651,0.11500000000000002,0.719,216727.0,0.0,0.0898,-7.661,0.681,1,KOD,2018.0,,,post_ai
auto pilot,migos,54.0,0.254,0.716,129.987,0.0716,0.924,287992.0,0.0,0.201,-5.801,0.165,1,Culture II,2018.0,,,post_ai
babe,sugarland,66.0,0.664,0.777,171.72,0.0187,0.535,215107.0,1.62e-06,0.136,-3.292,0.207,1,Bigger,2018.0,,,post_ai
back to sleep,chris brown,66.0,0.721,0.646,92.981,0.0424,0.647,201253.0,0.0,0.0888,-5.483,0.24299999999999997,0,Royalty (Deluxe Version),2016.0,1x Platinum,Rca,post_ai
bar at the end of the world,kenny chesney,55.0,0.687,0.8,100.035,0.00541,0.529,207307.0,0.0,0.104,-3.726,0.031,1,Cosmic Hallelujah,2017.0,,,post_ai
barbie dreams,nicki minaj,56.0,0.694,0.7860000000000001,87.99,0.312,0.848,279867.0,0.0,0.193,-4.133,0.337,0,Queen (Deluxe),2018.0,Gold,Young Money / Cash Money / Republic Records,post_ai
barcelona,ed sheeran,72.0,0.682,0.76,99.975,0.448,0.747,191147.0,0.0,0.153,-4.294,0.187,1,÷ (Deluxe),2017.0,Gold,Atlantic Records,post_ai
beautiful trauma,p!nk,70.0,0.234,0.619,95.977,0.0868,0.412,250053.0,2.55e-06,0.4,-6.39,0.0725,1,Beautiful Trauma,2017.0,,,post_ai
better man,little big town,65.0,0.501,0.836,143.888,0.11200000000000002,0.514,263120.0,0.0,0.0878,-3.6629999999999994,0.0381,1,The Breaker,2016.0,1x Platinum,Capitol Records Nashville,post_ai
black,dierks bentley,64.0,0.56,0.656,120.03699999999999,0.27,0.663,211160.0,0.000279,0.11700000000000002,-6.548,0.0413,1,Black,2016.0,Gold,Capitol Records Nashville,post_ai
black panther,kendrick lamar,60.0,0.48,0.582,90.035,0.625,0.618,130613.0,3.84e-06,0.265,-9.454,0.297,1,Black Panther The Album Music From And Inspired By,2018.0,,,post_ai
blem,drake,67.0,0.392,0.548,98.017,0.0521,0.724,216558.0,7.4e-06,0.104,-8.062,0.0497,0,More Life,2017.0,1x Platinum,Cash Money / Young Money / Republic Records,post_ai
blessed up,meek mill,49.0,0.415,0.59,92.275,0.0609,0.647,201255.0,0.0,0.381,-9.931,0.247,1,DC4,2016.0,,,post_ai
blue ain't your color,keith urban,55.0,0.479,0.4159999999999999,82.45,0.617,0.69,230600.0,1.37e-06,0.102,-7.864999999999999,0.0335,1,Ripcord,2016.0,4x Multi-Platinum,Capitol Records Nashville,post_ai
blue notes,meek mill,65.0,0.184,0.431,141.392,0.665,0.515,227809.0,0.0,0.147,-8.251,0.257,1,DC4,2016.0,,,post_ai
blue on black,five finger death punch,51.5,0.479,0.843,156.073,0.00104,0.509,274615.0,1.21e-05,0.0882,-5.628,0.0275,1,And Justice for None (Deluxe),2019.0,,,post_ai
blue tint,drake,69.0,0.123,0.37200000000000005,133.998,0.013,0.888,162800.0,0.0,0.18400000000000002,-10.254,0.35799999999999993,0,Scorpion,2018.0,,,post_ai
bored to death,blink,30.0,0.638,0.966,159.948,0.00575,0.502,235613.0,1.56e-06,0.117,-3.876,0.0946,1,California (Deluxe Edition),2016.0,,,post_ai
bounce back,big sean,77.0,0.26,0.567,81.477,0.105,0.7700000000000001,222360.0,0.0,0.125,-5.698,0.175,1,I Decided.,2016.0,4x Multi-Platinum,Def Jam,post_ai
boy,lee brice,68.0,0.383,0.408,78.942,0.644,0.498,198973.0,0.0,0.0993,-7.946,0.0331,1,Lee Brice,2017.0,Gold,Curb Records,post_ai
brackets,j. cole,64.0,0.658,0.567,84.039,0.19,0.675,315771.0,1.77e-06,0.175,-9.147,0.263,0,KOD,2018.0,,,post_ai
burning man,dierks bentley,71.0,0.49200000000000005,0.807,119.073,0.00403,0.609,238493.0,5.42e-06,0.0926,-7.221,0.0972,1,The Mountain,2018.0,,,post_ai
call casting,migos,56.0,0.496,0.727,130.014,0.0962,0.852,232705.0,0.0,0.154,-4.851,0.267,1,Culture,2017.0,,,post_ai
call it what you want,taylor swift,65.0,0.252,0.504,163.954,0.186,0.598,203507.0,0.000221,0.34,-9.874,0.0731,1,reputation,2017.0,Gold,Big Machine Records,post_ai
came here to forget,blake shelton,61.0,0.481,0.667,130.023,0.356,0.613,220413.0,1.29e-05,0.111,-6.874,0.029,0,If I'm Honest,2016.0,Gold,Warner Bros,post_ai
can't be broken,lil wayne,66.0,0.154,0.577,99.288,0.121,0.578,193243.0,0.0,0.086,-5.997,0.202,0,Tha Carter V,2018.0,,,post_ai
can't have everything,drake,62.0,0.438,0.568,82.495,0.0111,0.636,228438.0,0.0,0.117,-8.441,0.419,1,More Life,2017.0,,,post_ai
castaway,zac brown band,62.0,0.93,0.78,101.066,0.161,0.634,188053.0,0.0,0.112,-4.928,0.0477,1,JEKYLL + HYDE,2016.0,,,post_ai
castle on the hill,ed sheeran,80.0,0.471,0.834,135.007,0.0232,0.461,261154.0,1.14e-05,0.14,-4.868,0.0989,1,÷ (Deluxe),2017.0,3x Multi-Platinum,Atlantic Records,post_ai
cc,migos,53.0,0.817,0.723,134.011,0.23,0.85,259340.0,0.0,0.0876,-6.622,0.205,0,Culture II,2018.0,,,post_ai
chained to the rhythm,katy perry,40.0,0.474,0.8,189.89,0.0814,0.446,237733.0,0.0,0.199,-5.404,0.174,1,Witness (Deluxe),2017.0,1x Platinum,Capitol Records,post_ai
championships,meek mill,59.0,0.319,0.803,167.329,0.0786,0.488,261743.0,0.0,0.215,-4.165,0.205,0,Championships,2018.0,,,post_ai
change,j. cole,66.0,0.242,0.519,107.401,0.642,0.58,331480.0,0.00116,0.0936,-10.653,0.251,0,4 Your Eyez Only,2016.0,,,post_ai
cheap thrills,sia,55.5,0.7434999999999999,0.7430000000000001,89.9625,0.05355,0.61,218080.0,0.00071627,0.10785,-5.266,0.153,0,This Is Acting (Deluxe Edition),2016.0,4x Multi-Platinum,Rca,post_ai
church bells,carrie underwood,25.0,0.549,0.844,87.054,0.232,0.573,194507.0,0.0,0.062,-1.772,0.0648,0,Storyteller,2016.0,Gold,19 Recordings Limited / Arista Nashville,post_ai
cold,maroon 5,3.0,0.43200000000000005,0.712,100.054,0.119,0.697,234307.0,0.0,0.0468,-6.305,0.10900000000000001,0,Red Pill Blues + (Deluxe),2017.0,1x Platinum,222 Records / Interscope,post_ai
come back to earth,mac miller,73.0,0.119,0.238,83.507,0.89,0.272,161840.0,0.00925,0.275,-12.148,0.0349,0,Swimming,2018.0,,,post_ai
