Track,Artist,Year,Duration,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
7 rings,Ariana Grande,2019,178626,0.78,0.321,-10.747,0,0.372,0.562,0.0,0.0881,0.315,139.961,50
Dangerous Woman,Ariana Grande,2016,235946,0.664,0.602,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049,70
God is a woman,Ariana Grande,2018,197546,0.602,0.658,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,75
Into You,Ariana Grande,2016,244453,0.623,0.734,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,71
no tears left to cry,Ariana Grande,2018,205920,0.699,0.713,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,75
positions,Ariana Grande,2020,172324,0.737,0.802,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,79
Side To Side,Ariana Grande,2017,226160,0.649,0.736,-5.84,0,0.23,0.0528,0.0,0.235,0.612,159.182,66
"thank u, next",Ariana Grande,2019,207320,0.72,0.654,-5.634,1,0.0647,0.227,0.0,0.101,0.411,106.976,78
Callaita,Bad Bunny,2019,250533,0.608,0.626,-4.773,1,0.301,0.597,2.16e-06,0.25,0.246,176.086,76
DÁKITI,Bad Bunny,2020,205090,0.731,0.573,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,77
MIA,Bad Bunny,2018,210367,0.816,0.538,-6.354,0,0.0617,0.0142,0.000485,0.099,0.156,97.055,75
Safaera,Bad Bunny,2020,295176,0.607,0.829,-4.074,1,0.379,0.0103,0.0,0.107,0.685,96.172,74
Vete,Bad Bunny,2019,192024,0.886,0.672,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,69
Yo Perreo Sola,Bad Bunny,2020,172127,0.86,0.758,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,71
Fall In Love,Bailey Zimmerman,2023,232058,0.524,0.643,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,75
Get to Gettin’ Gone,Bailey Zimmerman,2022,182465,0.584,0.68,-6.781,1,0.0351,0.285,0.0,0.0901,0.55,146.093,64
Religiously,Bailey Zimmerman,2023,178723,0.57,0.67,-6.519,1,0.0274,0.426,0.0,0.108,0.593,140.924,77
Rock and A Hard Place,Bailey Zimmerman,2022,207540,0.582,0.568,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,79
Small Town Crazy,Bailey Zimmerman,2023,162352,0.502,0.877,-2.847,1,0.0746,0.0129,0.0,0.244,0.696,170.123,55
Trainwreck,Bailey Zimmerman,2022,210869,0.509,0.803,-5.543,1,0.0272,0.0772,0.0,0.133,0.373,138.022,53
Where It Ends,Bailey Zimmerman,2023,179294,0.431,0.837,-5.067,1,0.0432,0.259,0.0,0.0879,0.648,170.041,80
I'm a Mess,Bebe Rexha,2018,195519,0.63,0.694,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,70
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2017,163870,0.643,0.783,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,71
No Broken Hearts (feat. Nicki Minaj),Bebe Rexha,2017,239991,0.704,0.722,-3.524,1,0.045,0.0522,0.0,0.0645,0.675,122.094,53
Sacrifice,Bebe Rexha,2022,160871,0.659,0.877,-5.089,0,0.0288,0.0878,0.0,0.094,0.471,119.992,51
The Way I Are (Dance with Somebody) [feat. Lil Wayne],Bebe Rexha,2018,187787,0.466,0.659,-6.077,1,0.115,0.00282,0.0,0.273,0.36,186.169,52
"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",Bebe Rexha,2019,158258,0.394,0.718,-6.336,1,0.0607,0.706,0.0,0.116,0.247,151.912,54
Formation,Beyoncé,2016,206080,0.896,0.621,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966,68
bad guy,Billie Eilish,2019,194087,0.701,0.425,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,81
bury a friend,Billie Eilish,2019,193143,0.905,0.389,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,73
everything i wanted,Billie Eilish,2019,245425,0.704,0.225,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,82
idontwannabeyouanymore,Billie Eilish,2017,203569,0.483,0.412,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,77
lovely (with Khalid),Billie Eilish,2018,200185,0.351,0.296,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,87
my future,Billie Eilish,2020,208155,0.444,0.309,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,67
Therefore I Am,Billie Eilish,2020,173539,0.879,0.365,-7.781,1,0.0924,0.227,0.135,0.0583,0.663,94.016,72
when the party's over,Billie Eilish,2018,196077,0.367,0.111,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,83
Your Power,Billie Eilish,2021,245896,0.632,0.284,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,72
Bartier Cardi (feat. 21 Savage),Cardi B,2017,224284,0.908,0.524,-7.955,1,0.181,0.00111,0.000678,0.383,0.109,138.015,60
Be Careful,Cardi B,2018,210787,0.82,0.568,-8.23,0,0.411,0.0256,0.0,0.0952,0.535,152.279,67
Bodak Yellow,Cardi B,2017,223712,0.926,0.703,-6.337,0,0.103,0.0659,0.0,0.231,0.485,125.022,70
Drip (feat. Migos),Cardi B,2018,262308,0.968,0.589,-7.808,1,0.255,0.0511,0.0,0.0731,0.268,129.993,54
I Like It,Cardi B,2018,253390,0.816,0.726,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,77
Money,Cardi B,2018,183527,0.95,0.59,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.003,69
Please Me,Cardi B,2019,200889,0.747,0.57,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,75
Press,Cardi B,2020,143791,0.888,0.525,-5.665,1,0.305,0.029,5.68e-06,0.137,0.243,133.983,61
Up,Cardi B,2021,156944,0.868,0.795,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,65
