Artist,Followers,YearFirstAlbum
Ed Sheeran,52698756,2011
Justin Bieber,30711450,2009
Jonas Brothers,3069527,2006
Drake,41420478,2010
Chris Brown,9676862,2005
Taylor Swift,23709128,2006
Blake Shelton,4511508,2001
Nicki Minaj,16331335,2010
Panic! At The Disco,8129075,2005
Lee Brice,1094596,2010
Katy Perry,14004245,2008
Young Thug,4471452,2011
J. Cole,9417086,2009
Daddy Yankee,14076638,2002
Migos,9473441,2011
Meek Mill,3591329,2011
Lady Gaga,9370435,2008
Tyler The Creator,3384070,2011
YG,1916093,2011
DJ Khaled,4249473,2007
Luke Bryan,4556839,2007
P!nk,7214210,2000
Bruno Mars,22677758,2010
Eric Church,2226809,2006
Jason Aldean,3363492,2005
Gucci Mane,2904919,2005
Beyonce,20494887,2003
Chris Young,1605863,2006
Eli Young Band,523571,2005
Pedro Capo,685042,2007
Justin Moore,1025450,2009
Nicky Jam,10051233,2001
Nipsey Hussle,1114710,2009
Yo Gotti,2583062,2006
Cody Johnson,235754,2009
Miley Cyrus,10054490,2007
Maroon 5,20445189,2002
Lady Antebellum,2654356,2008
2 Chainz,4943181,2010
Ellie Goulding,7039401,2010
Diplo,2096548,2004
ScHoolboy Q,2774150,2011
French Montana,3080724,2007
Scotty McCreery,508501,2011
Five Finger Death Punch,3528566,2007
Jake Owen,1241447,2006
Carrie Underwood,3564883,2005
Mark Ronson,691165,2003
Gesaffelstein,283857,2011
Dierks Bentley,1962590,2003
Kelly Clarkson,5629156,2003
Kanye West,10455779,2004
Calvin Harris,18493843,2007
Steve Aoki,3263313,2007
twenty one pilots,14842963,2009
Avril Lavigne,5051153,2002
Mac Miller,3567365,2011
Wiz Khalifa,8515882,2006
Childish Gambino,5537876,2011
Ciara,4009542,2004
Li,1249783,2008
Jason Mraz,4811172,2002
Demi Lovato,15274062,2008
Foster The People,2692816,2011
Reik,3279005,2005
Juicy J,1917581,2002
Kendrick Lamar,13325462,2010
Pitbull,7293018,2004
Sugarland,1037915,2004
Gorillaz,4812524,2001
Pusha T,1447211,2011
Jay Rock,687325,2010
James Blake,903418,2011
Darius Rucker,1361255,2002
Kevin Gates,2668994,2009
Pharrell Williams,2900721,2006
Tank,446775,2001
Justin Timberlake,8365398,2002
Portugal. The Man,996901,2006
High Valley,80711,2010
Rihanna,34436700,2005
Miguel,2472516,2010
Janelle Monae,759853,2008
Plies,959477,2005
Easton Corbin,571545,2010
Big Sean,6653562,2011
Coldplay,22458057,2000
Wisin,4955084,2004
Billy Currington,1508682,2003
The Revivalists,215392,2010
David Guetta,20121007,2002
Major Lazer,5726943,2009
