Track,Artist,Year,Duration,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Break Free,Ariana Grande,2014,214840,0.686,0.702,-5.325,0,0.0455,0.00637,4.46e-05,0.204,0.29,129.948,76
One Last Time,Ariana Grande,2014,197266,0.628,0.593,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.025,82
Crazy In Love (feat. Jay-Z),Beyoncé,2003,236133,0.646,0.77,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,79
Drunk in Love (feat. Jay-Z),Beyoncé,2013,323480,0.583,0.621,-6.902,0,0.0479,0.00972,0.00106,0.181,0.399,140.036,71
Halo,Beyoncé,2008,261640,0.508,0.72,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,72
If I Were a Boy,Beyoncé,2008,249146,0.632,0.518,-6.126,1,0.0313,0.107,0.0,0.354,0.427,90.007,64
Irreplaceable,Beyoncé,2006,227853,0.447,0.694,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,69
Love On Top,Beyoncé,2011,267413,0.652,0.749,-5.248,1,0.0886,0.0848,0.0,0.604,0.651,94.103,73
Partition,Beyoncé,2013,319466,0.418,0.441,-11.522,0,0.283,0.029,0.0707,0.306,0.172,175.928,69
Run the World (Girls),Beyoncé,2011,236093,0.732,0.899,-4.237,1,0.143,0.00496,4.64e-05,0.372,0.759,127.091,70
Single Ladies (Put a Ring on It),Beyoncé,2008,193213,0.426,0.584,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,66
Kiss Kiss (feat. T-Pain),Chris Brown,2008,250666,0.729,0.658,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,74
Run It! (feat. Juelz Santana),Chris Brown,2005,229866,0.846,0.482,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,73
With You,Chris Brown,2007,252120,0.662,0.693,-4.298,1,0.0698,0.134,0.0,0.145,0.655,86.009,75
Yeah 3x,Chris Brown,2010,241666,0.705,0.882,-3.201,0,0.0445,0.000369,1.16e-06,0.0934,0.7,130.0,67
Chillin' It,Cole Swindell,2013,196746,0.576,0.849,-3.057,1,0.0386,0.511,3.89e-05,0.109,0.666,137.982,64
Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix,David Guetta,2008,199386,0.773,0.813,-4.609,0,0.0797,0.0331,3.77e-05,0.192,0.707,127.93,62
Memories (feat. Kid Cudi),David Guetta,2009,210093,0.561,0.87,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,67
Play Hard (feat. Ne-Yo & Akon),David Guetta,2012,201000,0.691,0.921,-1.702,0,0.0535,0.174,0.0,0.331,0.802,130.072,62
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,2012,222500,0.491,0.857,-2.634,1,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,49
Titanium (feat. Sia),David Guetta,2011,245040,0.604,0.788,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,56
Turn Me On (feat. Nicki Minaj),David Guetta,2011,199680,0.705,0.794,-2.266,1,0.0593,0.0488,0.0,0.575,0.412,127.961,60
