ranking,song,band_singer,titletext,year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,Breathe,Faith Hill,Breathe,2000,0.529,0.496,-9.007,1.0,0.029,0.173,0.0,0.251,0.278,136.859,250547.0
2,Smooth,Santana,Smooth,2000,0.609,0.923,-3.908,1.0,0.0338,0.16,4.7300000000000005e-06,0.295,0.961,115.996,294987.0
2,Smooth,Rob Thomas,Smooth,2000,0.59,0.637,-9.171,1.0,0.0301,0.00225,0.807,0.299,0.724,115.983,244924.0
3,Maria Maria,Santana,Maria Maria,2000,0.777,0.601,-5.931,1.0,0.126,0.0406,0.00201,0.0348,0.68,97.911,261973.0
4,I Wanna Know,Joe,I Wanna Know,2000,0.725,0.487,-5.959,0.0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,296693.0
5,Everything You Want,Vertical Horizon,Everything You Want,2000,0.636,0.761,-6.389,0.0,0.0306,0.0517,0.0,0.0642,0.736,93.896,257067.0
7,I Knew I Loved You,Savage Garden,I Knew I Loved You,2000,0.61,0.497,-9.88,1.0,0.0279,0.32,6.11e-05,0.0884,0.739,85.031,250360.0
8,Amazed,Lonestar,Amazed,2000,0.561,0.543,-8.498,1.0,0.0324,0.26,0.0,0.124,0.243,139.803,240867.0
9,Bent,Matchbox Twenty,Bent,2000,0.518,0.8300000000000001,-6.814,0.0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,256133.0
10,He Wasn't Man Enough,Toni Braxton,He Wasn't Man Enough,2000,0.739,0.947,-1.916,0.0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,261933.0
11,Higher,Creed,Higher,2000,0.459,0.8300000000000001,-6.254,1.0,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,316733.0
12,Try Again,Aaliyah,Try Again,2000,0.794,0.662,-4.913,0.0,0.249,0.0789,0.0,0.0937,0.683,93.053,284640.0
14,Thong Song,Sisqó,Thong Song,2000,0.706,0.888,-6.959,1.0,0.0654,0.119,9.64e-05,0.07,0.714,121.549,253733.0
15,Kryptonite,3 Doors Down,Kryptonite,2000,0.545,0.865,-5.708,0.0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,233933.0
16,There You Go,Pink,There You Go,2000,0.242,0.891,-2.71,1.0,0.0443,0.00559,0.215,0.104,0.515,156.288,297777.0
17,Music,Madonna,Music,2000,0.736,0.802,-8.527,1.0,0.0663,0.00149,0.0876,0.14,0.871,119.854,225973.0
19,What a Girl Wants,Christina Aguilera,What a Girl Wants,2000,0.754,0.8190000000000001,-6.833,1.0,0.112,0.0684,0.0,0.345,0.8180000000000001,142.137,215800.0
