Name,Artist,Popularity,Valence,Energy,Tempo,year,RiaaStatus,Label,period
1 thing,amerie,2.0,0.845,0.962,130.851,2005.0,Gold,Columbia,pre_ai
10 bands,drake,66.0,0.87,0.756,173.0,2015.0,1x Platinum,Cash Money / Young Money / Republic Records,pre_ai
100,the game,25.0,0.412,0.521,108.025,2015.0,1x Platinum,Eone Music,pre_ai
100 grandkids,mac miller,65.0,0.373,0.749,93.718,2015.0,,,pre_ai
1234,feist,30.0,0.636,0.479,109.95,2007.0,,,pre_ai
17 again,brantley gilbert,12.0,0.71,0.871,173.918,2014.0,,,pre_ai
19 somethin',mark wills,29.0,0.523,0.71,184.084,2002.0,,,pre_ai
1901,phoenix,25.0,0.695,0.834,144.102,2009.0,1x Platinum,Glassnote Records,pre_ai
1973,james blunt,30.5,0.768,0.668,123.007,2007.0,,,pre_ai
1985,bowling for soup,34.333333333333336,0.853,0.878,119.955,2004.0,1x Platinum,Zomba,pre_ai
2 phones,kevin gates,71.0,0.554,0.681,121.918,2015.0,4x Multi-Platinum,Bread Winners Association / Atlantic Records,pre_ai
2 step,unk,32.0,0.666,0.725,76.989,2007.0,Gold,Koch,pre_ai
21 guns,green day,15.5,0.419,0.719,159.072,2009.0,1x Platinum,Reprise,pre_ai
21 questions,50 cent,29.0,0.898,0.802,90.488,2003.0,,,pre_ai
22,taylor swift,54.0,0.703,0.739,104.012,2012.0,3x Multi-Platinum,"Big Machine Records, Inc.",pre_ai
24's,t.i.,55.0,0.582,0.725,162.06,2003.0,,,pre_ai
25 to life,eminem,7.0,0.362,0.931,79.996,2010.0,Gold,Shady / Aftermath / Interscope,pre_ai
3 peat,lil wayne,37.0,0.471,0.66,153.092,2008.0,,,pre_ai
30 for 30 freestyle,drake,26.0,0.275,0.599,92.833,2015.0,,,pre_ai
4 in the morning,gwen stefani,40.0,0.502,0.826,92.409,2007.0,,,pre_ai
50 ways to say goodbye,train,67.0,0.736,0.935,140.043,2012.0,Gold,Columbia Records,pre_ai
6 foot 7 foot,lil wayne,57.0,0.604,0.751,79.119,2010.0,3x Multi-Platinum,Cash Money / Republic Records,pre_ai
6 god,drake,64.0,0.477,0.639,105.504,2014.0,1x Platinum,Cash Money / Young Money / Republic Records,pre_ai
6 man,drake,61.0,0.368,0.529,78.967,2015.0,,,pre_ai
7 days,craig david,38.5,0.888,0.812,83.013,2000.0,,,pre_ai
7 things,miley cyrus,30.0,0.543,0.903,107.031,2008.0,,,pre_ai
8th world wonder,kimberley locke,33.0,0.295,0.758,100.041,2004.0,,,pre_ai
a little bit longer,jonas brothers,54.0,0.279,0.612,156.286,2008.0,,,pre_ai
a little bit stronger,sara evans,62.0,0.288,0.65,147.93,2010.0,1x Platinum,Rca Nashville,pre_ai
a little gasoline,terri clark,16.5,0.764,0.655,76.7,2000.0,,,pre_ai
a little more country than that,easton corbin,15.0,0.564,0.623,84.966,2010.0,Gold,Mercury,pre_ai
a lot of things different,kenny chesney,37.0,0.212,0.279,74.847,2002.0,,,pre_ai
a milli,lil wayne,57.0,0.774,0.695,151.468,2008.0,2x Multi-Platinum,Universal Records,pre_ai
a moment like this,kelly clarkson,55.0,0.155,0.574,71.796,2002.0,,,pre_ai
a new day has come,celine dion,2.0,0.0609,0.333,119.483,2002.0,,,pre_ai
a public affair,jessica simpson,28.0,0.859,0.856,124.061,2006.0,Gold,Epic,pre_ai
a rose by any other name,teena marie,32.0,0.481,0.7,128.338,2004.0,,,pre_ai
a thousand miles,vanessa carlton,12.0,0.309,0.818,94.933,2002.0,,,pre_ai
a woman like you,lee brice,63.0,0.371,0.584,160.048,2011.0,2x Multi-Platinum,Curb,pre_ai
a woman's love,alan jackson,19.5,0.563,0.449,146.752,2007.0,,,pre_ai
about the money,t.i.,23.5,0.524,0.651,102.058,2014.0,,,pre_ai
about us,brooke hogan,24.5,0.647,0.779,83.326,2006.0,,,pre_ai
about you,trey songz,57.0,0.718,0.564,204.002,2015.0,,,pre_ai
absolute,the fray,44.0,0.503,0.836,140.515,2009.0,,,pre_ai
accidental racist,brad paisley,0.0,0.393,0.602,139.954,2013.0,,,pre_ai
according to you,orianthi,32.0,0.538,0.917,131.007,2009.0,1x Platinum,Geffen,pre_ai
act a fool,ludacris,43.0,0.753,0.905,110.165,2003.0,,,pre_ai
act right,yo gotti,53.0,0.598,0.615,97.999,2013.0,,,pre_ai
addicted,saving abel,69.0,0.529,0.865,138.017,2008.0,1x Platinum,Virgin,pre_ai
adore you,miley cyrus,72.0,0.201,0.655,119.759,2013.0,2x Multi-Platinum,Rca,pre_ai
adorn,miguel,34.0,0.235,0.576,179.063,2012.0,3x Multi-Platinum,Bystorm/Rca,pre_ai
adrenalina,wisin,65.0,0.757,0.944,124.987,2014.0,,,pre_ai
aerials,system of a down,22.0,0.253,0.921,79.577,2001.0,,,pre_ai
afire love,ed sheeran,64.0,0.333,0.637,97.97,2014.0,Gold,Atlantic Records,pre_ai
after midnight,blink,44.0,0.902,0.889,167.995,2011.0,,,pre_ai
again,faith evans,27.0,0.362,0.763,173.822,2005.0,,,pre_ai
ai se eu te pego,michel telo,2.0,0.852,0.945,96.035,2011.0,,,pre_ai
ain't i,yung l.a.,1.0,0.489,0.78,77.476,2008.0,,,pre_ai
ain't it fun,paramore,61.0,0.673,0.893,104.031,2013.0,3x Multi-Platinum,Fueled by Ramen,pre_ai
ain't it funny,jennifer lopez,40.0,0.615,0.871,99.842,2002.0,,,pre_ai
ain't leavin without you,jaheim,5.0,0.819,0.754,98.929,2009.0,,,pre_ai
ain't no other man,christina aguilera,53.0,0.511,0.742,127.91,2006.0,1x Platinum,Rca Records,pre_ai
ain't worried about nothin,french montana,40.0,0.71,0.904,127.887,2013.0,,,pre_ai
air force ones,nelly,21.0,0.816,0.785,82.027,2002.0,,,pre_ai
alcohol,brad paisley,48.5,0.576,0.79,141.694,2005.0,Gold,Arista Nashville,pre_ai
alejandro,lady gaga,33.5,0.36,0.793,98.998,2010.0,2x Multi-Platinum,Streamline  /  Interscope,pre_ai
alive,sia,51.5,0.444,0.762,99.963,2015.0,,,pre_ai
all around me,flyleaf,62.0,0.47,0.871,146.975,2005.0,1x Platinum,A&m/Octone,pre_ai
all around the world,justin bieber,25.0,0.775,0.816,127.958,2012.0,1x Platinum,Island,pre_ai
all bad,justin bieber,50.0,0.353,0.419,96.482,2013.0,,,pre_ai
all for you,janet,55.0,0.692,0.925,113.528,2001.0,,,pre_ai
all i ask,adele,71.0,0.343,0.283,141.961,2015.0,,,pre_ai
all i ask for anymore,trace adkins,4.0,0.291,0.391,129.912,2008.0,,,pre_ai
all i do is win,dj khaled,69.0,0.293,0.791,150.094,2010.0,3x Multi-Platinum,E1 Entertainment,pre_ai
all i ever wanted,kelly clarkson,0.0,0.696,0.866,100.007,2009.0,,,pre_ai
all i want for christmas is you,michael buble,0.0,0.175,0.459,141.961,2011.0,,,pre_ai
all i want to do,sugarland,34.0,0.782,0.721,97.022,2008.0,1x Platinum,Mercury Nashville,pre_ai
all kinds of kinds,miranda lambert,45.0,0.461,0.741,157.166,2013.0,,,pre_ai
all me,drake,63.0,0.429,0.511,122.029,2013.0,2x Multi-Platinum,Cash Money / Young Money / Republic Records,pre_ai
all my friends say,luke bryan,60.0,0.962,0.9,117.036,2007.0,1x Platinum,Capitol Records Nashville,pre_ai
all or nothing,theory of a deadman,43.0,0.339,0.803,152.062,2008.0,,,pre_ai
all over me,josh turner,26.0,0.899,0.764,84.907,2010.0,,,pre_ai
all summer long,kid rock,74.0,0.887,0.864,102.997,2007.0,Gold,Top Dog,pre_ai
all that matters,justin bieber,65.0,0.142,0.505,129.873,2013.0,,,pre_ai
all the above,maino,22.0,0.422,0.725,149.342,2009.0,,,pre_ai
all the right moves,onerepublic,10.5,0.651,0.948,146.036,2009.0,2x Multi-Platinum,Interscope / Geffen / A&m,pre_ai
all the small things,blink,80.0,0.684,0.897,148.726,2000.0,,,pre_ai
all the things she said,t.a.t.u.,44.5,0.421,0.833,180.148,2002.0,,,pre_ai
all the way home,tamar braxton,53.0,0.254,0.663,107.99,2013.0,,,pre_ai
all the way turnt up,roscoe dash,13.0,0.738,0.964,132.013,2010.0,,,pre_ai
all these things that i've done,the killers,60.0,0.206,0.71,118.276,2004.0,1x Platinum,Island/Def Jam,pre_ai
all too well,taylor swift,54.5,0.314,0.631,93.04,2012.0,Gold,Big Machine Records,pre_ai
all your fault,big sean,46.0,0.499,0.739,100.008,2015.0,,,pre_ai
all your life,the band perry,4.0,0.455,0.521,131.937,2011.0,1x Platinum,Republic Nashville,pre_ai
almost,bowling for soup,28.333333333333332,0.642,0.878,139.979,2005.0,Gold,Jive,pre_ai
almost home,craig morgan,44.5,0.237,0.481,75.974,2002.0,,,pre_ai
alone together,fall out boy,30.0,0.654,0.911,90.02,2013.0,1x Platinum,Island,pre_ai
alone with you,jake owen,54.0,0.336,0.761,108.999,2011.0,1x Platinum,Rca Records Label Nashville,pre_ai
already gone,kelly clarkson,1.0,0.294,0.872,78.139,2009.0,,,pre_ai
already gone,sugarland,36.0,0.356,0.596,154.675,2008.0,,,pre_ai
alright,kendrick lamar,26.0,0.558,0.766,110.034,2015.0,1x Platinum,Top Dawg Entertainment / Aftermath / Interscope Records,pre_ai
always on time,ja rule,23.0,0.826,0.688,96.673,2001.0,,,pre_ai
always the love songs,eli young band,23.5,0.384,0.78,149.974,2008.0,Gold,Republic Nashville,pre_ai
alyssa lies,jason michael carroll,44.0,0.384,0.612,75.54,2006.0,,,pre_ai
am i the only one,dierks bentley,52.0,0.88,0.878,165.972,2012.0,Gold,Capitol Records Nashville,pre_ai
am to pm,christina milian,56.0,0.861,0.876,104.985,2001.0,,,pre_ai
amazing,josh kelley,31.0,0.697,0.748,85.186,2003.0,,,pre_ai
america's suitehearts,fall out boy,40.0,0.716,0.931,160.015,2008.0,Gold,Island,pre_ai
american baby,dave matthews band,48.0,0.856,0.822,120.741,2005.0,Gold,Rca Records,pre_ai
american boy,estelle,27.0,0.512,0.729,117.932,2008.0,2x Multi-Platinum,Atlantic,pre_ai
american honey,lady antebellum,32.0,0.121,0.684,85.997,2010.0,1x Platinum,Capitol Nashville,pre_ai
american idiot,green day,63.0,0.81,0.984,186.081,2004.0,Gold,Reprise,pre_ai
american kids,kenny chesney,70.0,0.867,0.589,170.097,2014.0,2x Multi-Platinum,Blue Chair Records / Columbia Nashville,pre_ai
american life,madonna,45.0,0.706,0.583,101.96,2003.0,,,pre_ai
american pie,madonna,60.0,0.523,0.674,124.001,2000.0,,,pre_ai
american ride,toby keith,59.0,0.794,0.907,174.085,2009.0,Gold,Show Dog - Universal Music,pre_ai
american saturday night,brad paisley,52.0,0.733,0.938,157.795,2009.0,,,pre_ai
an honest mistake,the bravery,59.0,0.613,0.882,140.054,2005.0,,,pre_ai
anaconda,nicki minaj,57.5,0.651,0.606,129.999,2014.0,2x Multi-Platinum,Cash Money / Young Money / Republic Records,pre_ai
and i,ciara,12.5,0.437,0.389,122.219,2005.0,,,pre_ai
angel,lionel richie,19.333333333333332,0.323,0.634,124.952,2000.0,,,pre_ai
angel,shaggy,12.0,0.826,0.763,85.299,2001.0,,,pre_ai
angel eyes,love and theft,64.0,0.966,0.696,108.015,2011.0,,,pre_ai
angel in blue jeans,train,58.0,0.688,0.817,115.036,2014.0,,,pre_ai
angelito,don omar,44.0,0.311,0.661,156.005,2006.0,Gold,Machete Music,pre_ai
angels in waiting,tammy cochran,20.5,0.325,0.295,175.336,2001.0,,,pre_ai
angry all the time,tim mcgraw,38.0,0.363,0.498,127.604,2001.0,,,pre_ai
animal,neon trees,46.0,0.74,0.833,148.039,2010.0,2x Multi-Platinum,Mercury,pre_ai
animal i have become,three days grace,50.5,0.494,0.846,122.03,2006.0,2x Multi-Platinum,Rca Records,pre_ai
animals,maroon 5,30.0,0.328,0.742,189.868,2014.0,,,pre_ai
animals,nickelback,48.0,0.848,0.955,154.014,2005.0,,,pre_ai
another side of you,joe nichols,1.0,0.653,0.662,94.981,2007.0,,,pre_ai
another try,josh turner,45.0,0.231,0.493,123.251,2007.0,,,pre_ai
another way to die,disturbed,54.0,0.315,0.967,112.017,2010.0,,,pre_ai
anything but mine,kenny chesney,41.0,0.348,0.537,147.995,2004.0,Gold,Bna Records Label,pre_ai
anything could happen,ellie goulding,18.333333333333332,0.413,0.788,103.012,2012.0,2x Multi-Platinum,Cherry Tree / Interscope,pre_ai
anything goes,randy houser,7.0,0.296,0.614,139.753,2008.0,,,pre_ai
anyway,martina mcbride,10.0,0.263,0.603,137.009,2007.0,Gold,Rca Nashville,pre_ai
anywhere with you,jake owen,59.0,0.598,0.936,151.988,2011.0,1x Platinum,Rca Records Label Nashville,pre_ai
apologize,timbaland,25.0,0.073,0.614,118.019,2007.0,4x Multi-Platinum,Interscope / Geffen / A&m,pre_ai
apparently,j. cole,70.0,0.534,0.543,133.982,2014.0,,,pre_ai
